,,Number of preterm live births,Number of very preterm live births,Percent of preterm live births,Percent of very preterm live births,Crude rate of infant deaths per 1000 live births,Crude rate of neonatal deaths per 1000 live births,Crude rate of perinatal deaths per 1000 live births,Crude rate of postneonatal deaths per 1000 live births,Number of infant deaths,Number of neonatal deaths,Number of perinatal deaths,Number of postneonatal deaths,Number of Live Births,Number of low birth weight (less than 2500 grams) live births,Number of very low birth weight (less than 1500 grams) among live births,Percent of low birth weight (less than 2500 grams) live births,Percent of very low birth weight (less than 1500 grams) among  live births,Ratio of male to female births among singleton births
Geography,FIPS,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
Alachua,12-001,290,54,11.43,2.13,8.3,6.7,6.3,1.6,21,17,16,4,2538,264,52,10.4,2.05,1.01
Baker,12-003,46,8,13.29,2.31,11.6,8.7,5.8,2.9,4,3,2,1,346,38,7,10.98,2.02,1.13
Bay,12-005,185,31,9.85,1.65,10.1,6.9,4.3,3.2,19,13,8,6,1879,158,32,8.41,1.7,1
Bradford,12-007,38,2,12.67,0.67,10,3.3,3.3,6.7,3,1,1,2,300,25,3,8.33,1,0.97
Brevard,12-009,505,79,10.31,1.61,5.9,3.3,2.5,2.7,29,16,12,13,4897,428,66,8.74,1.35,1.05
Broward,12-011,2162,380,10.93,1.92,4.8,2.9,2.3,1.9,95,58,45,37,19788,1805,347,9.12,1.75,1.04
Calhoun,12-013,14,0,11.11,0,0,0,0,0,0,0,0,0,126,13,0,10.32,0,0.91
Charlotte,12-015,117,14,11.25,1.35,2.9,1,1,1.9,3,1,1,2,1040,105,15,10.1,1.44,1.05
Citrus,12-017,120,13,11.41,1.24,7.6,4.8,3.8,2.9,8,5,4,3,1052,75,11,7.13,1.05,1.08
Clay,12-019,234,34,11.26,1.64,4.8,2.9,2.9,1.9,10,6,6,4,2078,174,29,8.37,1.39,0.97
Collier,12-021,289,33,9.14,1.04,1.3,0.9,0.6,0.3,4,3,2,1,3162,222,29,7.02,0.92,0.97
Columbia,12-023,94,17,12.62,2.28,12.1,5.4,4,6.7,9,4,3,5,745,81,17,10.87,2.28,1.08
Miami-Dade,12-086,2532,411,9.64,1.57,4,2.6,2,1.4,105,69,52,36,26256,2086,387,7.94,1.47,1.01
DeSoto,12-027,34,7,9.58,1.97,8.5,2.8,0,5.6,3,1,0,2,355,34,5,9.58,1.41,1.14
Dixie,12-029,21,1,12.21,0.58,11.6,11.6,11.6,0,2,2,2,0,172,17,2,9.88,1.16,1.26
Duval,12-031,1415,231,11.63,1.9,7.5,5,3.7,2.5,91,61,45,30,12165,1218,215,10.01,1.77,1.02
Escambia,12-033,587,75,15.78,2.02,6.7,4,3.2,2.7,25,15,12,10,3721,425,65,11.42,1.75,1.01
Flagler,12-035,89,8,11.79,1.06,4,1.3,1.3,2.6,3,1,1,2,755,66,9,8.74,1.19,1.07
Franklin,12-037,8,0,7.92,0,0,0,0,0,0,0,0,0,101,6,0,5.94,0,1.04
Gadsden,12-039,85,18,17.35,3.67,8.2,4.1,2,4.1,4,2,1,2,490,73,19,14.9,3.88,1.05
Gilchrist,12-041,24,3,13.04,1.63,0,0,0,0,0,0,0,0,184,13,3,7.07,1.63,0.95
