,,Number of housing units,Number of housing units built between 1950 and 1979,Number of housing units that are vacant,Number of housing units that lack complete plumbing facilities,"Number of occupied housing units that use wood, fuel oil, kerosene, coal, or coke as heating fuel",Number of pre-1950 housing units,Percent of housing units built between 1950 and 1979,Percent of housing units that are vacant,Percent of housing units that lack complete plumbing facilities,"Percent of occupied housing units that use wood, fuel oil, kerosene, coal, or coke as heating fuel",Percent of pre-1950 housing units
Geography,FIPS,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
Alachua,12-001,90340,32522,12589,674,542,4012,36,13.94,0.75,0.7,4.44
Baker,12-003,10105,2806,1277,63,69,472,27.77,12.64,0.62,0.78,4.67
Bay,12-005,70822,19204,15831,1604,50,4533,27.12,22.35,2.26,0.09,6.4
Bradford,12-007,4347,1583,529,57,31,317,36.42,12.17,1.31,0.81,7.29
Brevard,12-009,175202,68619,28500,911,304,2929,39.17,16.27,0.52,0.21,1.67
Broward,12-011,633293,332052,87324,3101,655,12046,52.43,13.79,0.49,0.12,1.9
Calhoun,12-013,2945,867,740,212,70,117,29.44,25.13,7.2,3.17,3.97
Charlotte,12-015,65058,23121,17442,188,69,718,35.54,26.81,0.29,0.14,1.1
Citrus,12-017,28873,10220,5286,374,167,347,35.4,18.31,1.3,0.71,1.2
Clay,12-019,31064,11466,2494,233,114,878,36.91,8.03,0.75,0.4,2.83
Collier,12-021,96736,28517,33863,410,163,568,29.48,35.01,0.42,0.26,0.59
Columbia,12-023,25298,6507,3654,835,414,1346,25.72,14.44,3.3,1.91,5.32
Miami-Dade,12-086,602302,295226,93339,5932,732,62669,49.02,15.5,0.98,0.14,10.4
DeSoto,12-027,15307,4439,2886,164,85,881,29,18.85,1.07,0.68,5.76
Dixie,12-029,1911,748,324,42,0,134,39.14,16.95,2.2,0,7.01
Duval,12-031,254061,104182,27919,3957,1121,31578,41.01,10.99,1.56,0.5,12.43
Escambia,12-033,120563,46071,17258,1364,420,9776,38.21,14.31,1.13,0.41,8.11
